City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
224,Biryusinsk,55.9634,97.8235,9.5,89,100,4.74,RU,2022-02-08 05:07:50,overcast clouds
225,Trincomalee,8.5711,81.2335,80.87,61,12,11.36,LK,2022-02-08 05:07:50,few clouds
226,Sept-Iles,50.2001,-66.3821,14.05,84,100,4.0,CA,2022-02-08 05:07:51,overcast clouds
227,Tandil,-37.3217,-59.1332,51.62,92,3,3.44,AR,2022-02-08 05:08:51,clear sky
228,Yeppoon,-23.1333,150.7333,83.98,60,17,13.94,AU,2022-02-08 05:07:54,few clouds
229,Risor,58.7206,9.2342,41.16,65,75,20.15,NO,2022-02-08 05:08:51,broken clouds
230,Hajnowka,52.7433,23.5812,34.02,86,72,3.0,PL,2022-02-08 05:08:52,broken clouds
231,Sakakah,29.9697,40.2064,49.35,45,0,5.3,SA,2022-02-08 05:08:02,clear sky
232,Victoria,22.2855,114.1577,66.25,80,93,11.01,HK,2022-02-08 05:04:51,overcast clouds
233,Coihaique,-45.5752,-72.0662,57.15,54,0,3.44,CL,2022-02-08 05:06:37,clear sky
234,Ilulissat,69.2167,-51.1,-0.38,85,75,24.16,GL,2022-02-08 05:08:53,heavy snow
235,Karratha,-20.7377,116.8463,88.5,62,74,10.11,AU,2022-02-08 05:08:53,light rain
236,Datong,40.0936,113.2914,27.41,19,3,4.56,CN,2022-02-08 05:08:53,clear sky
237,Huarmey,-10.0681,-78.1522,70.97,81,100,8.08,PE,2022-02-08 05:08:54,overcast clouds
238,Flinders,-34.5833,150.8552,76.8,72,44,6.76,AU,2022-02-08 05:08:54,scattered clouds
239,Hobyo,5.3505,48.5268,77.22,63,8,18.77,SO,2022-02-08 05:05:32,clear sky
240,Yumbe,3.4651,31.2469,67.96,31,67,3.62,UG,2022-02-08 05:08:55,broken clouds
241,Leningradskiy,69.3833,178.4167,-28.64,92,4,4.97,RU,2022-02-08 05:07:32,clear sky
242,Kesinga,20.2,83.2333,79.79,20,1,0.74,IN,2022-02-08 05:08:56,clear sky
243,Benjamin Constant,-4.3831,-70.0311,73.53,100,100,1.9,BR,2022-02-08 05:08:56,overcast clouds
244,Barabai,-2.5833,115.3833,89.71,59,93,1.63,ID,2022-02-08 05:08:56,light rain
245,Ambilobe,-13.2,49.05,79.93,82,59,4.72,MG,2022-02-08 05:08:57,broken clouds
246,Charters Towers,-20.1,146.2667,89.76,31,7,5.3,AU,2022-02-08 05:08:57,clear sky
247,Necochea,-38.5473,-58.7368,51.04,89,0,8.03,AR,2022-02-08 05:08:58,clear sky
248,La Paz,-16.5,-68.15,42.78,100,40,5.75,BO,2022-02-08 05:08:58,fog
249,Nelson Bay,-32.7167,152.15,77.29,67,36,3.0,AU,2022-02-08 05:08:59,scattered clouds
250,Shingu,33.7333,135.9833,45.91,68,100,5.68,JP,2022-02-08 05:08:59,overcast clouds
251,Goundam,16.4145,-3.6708,62.56,14,4,8.79,ML,2022-02-08 05:08:59,clear sky
252,Krasnoselkup,65.7,82.4667,-19.01,98,56,6.64,RU,2022-02-08 05:09:00,broken clouds
253,Tual,-5.6667,132.75,83.77,74,57,7.92,ID,2022-02-08 05:00:54,broken clouds
254,Maningrida,-12.0667,134.2667,89.31,57,86,7.14,AU,2022-02-08 05:09:01,overcast clouds
255,Arman,59.7,150.1667,17.02,77,97,5.95,RU,2022-02-08 05:09:01,overcast clouds
256,Saint-Philippe,-21.3585,55.7679,81.99,87,100,12.55,RE,2022-02-08 05:09:02,light rain
257,Zhuanghe,39.7008,122.9911,34.66,34,4,2.39,CN,2022-02-08 05:09:02,clear sky
258,Yumen,40.2833,97.2,27.45,36,9,14.63,CN,2022-02-08 05:09:03,clear sky
